Activity ID and name*,Data element ID*,Data element label*,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,CIEL,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MISAU.G.General,MISAU.G.DE118,Vaccine Name,"Name of the vaccine, supplement, or deworming treatment",Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE119,Vaccine Administration Date,Date the vaccine was administered,Boolean,,,,,,,,,,,,1410,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE120,Systems Review,,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE121,General Complaints,General systemic complaints reported by the patient,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE122,Respiratory and Cardiovascular,Symptoms related to respiratory and cardiac systems,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE123,Gastrointestinal,Symptoms related to the digestive system,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE124,Genitourinary,Symptoms related to the genitourinary system,Boolean,,,,,,,,,,,,,,,,,,,,,,LA16969-0,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE125,Nervous System,Symptoms related to the neurological system,Boolean,,,,,,,,,,,,,,,,,,,,,,LP7441-1,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE126,Haemolymphopoietic,Symptoms related to blood and lymphatic systems,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE127,Osteo-Myo-Articular,"Symptoms related to bones, muscles and joints",Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
