Activity ID and name*,Data element ID*,Data element label*,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,CIEL,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MISAU.G.General,MISAU.G.DE308,Further Observations,Additional clinical notes at discharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE310,Discharge Diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE311,Primary Diagnosis Code,ICD-10 code of principal diagnosis at discharge (searchable),Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE312,Primary Diagnosis Name,Full designation of the primary ICD-10 diagnosis,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE313,Secondary Diagnosis Code,ICD-10 code of additional diagnoses (multiple allowed),Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE314,Secondary Diagnosis Name,Designation of secondary diagnoses,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE315,Recommendations,Post-discharge recommendations for patient care,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE316,Evolution and Prognosis,Clinical prognosis and evolution notes,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE317,Outpatient Consultation Continuation,,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE318,Outpatient Service,External consultation service for continued care (single select),Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE319,Outpatient Specialty,Specialty linked to selected outpatient service,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE320,Transfer Health Unit,,String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE321,Destination Province,Province of destination health unit,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE322,Destination District,District of destination health unit,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE323,Destination Health Unit,Name of destination health unit,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,,Request Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE288,Treatment Name,Name of the treatment selected from a pre-configured system list (single select),Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE289,Further Observations,Additional clinical notes or context for the treatment request,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE290,Treatment Request Status,Status of each treatment request; defaults to Pending on creation,Coding,"Completed, Rejected, Pending",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE291,Perfom Outpatient treatment,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE292,Treatment Name (view),Non-editable display of the requested treatment name,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE293,Observations (view),Non-editable display of additional observations from request,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE294,Treatment Status,Outcome of treatment execution selected by nurse,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE295,Nurse's Notes,Nurse's justification notes; mandatory when status is Rejected,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE296,Date & Time (Treatment),Date and time treatment was performed (auto-populated by system),Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE297,Nurse Name,Name of the nurse who performed the treatment (auto-populated),Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disease Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE288,TB Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE289,TB – Exposure (last 12 months),Whether patient has been exposed to TB in the past 12 months,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE290,TB – Has Symptoms,Whether patient currently presents TB symptoms,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE291,TB – Symptom List,Specific TB symptoms observed:,Coding," Fever, Weight Loss, Night Sweats, Cough >2wks, Asthenia, TB Contact, Cervical Lymphadenopathy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE292,TB – Painless Cervical Lymphadenopathy,Symptom available only for paediatric users aged ≤14 years,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE294,Sexually Transmitted Infections Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE295,STI – Has Symptoms,Whether patient reports STI symptoms,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE296,Cervical & Breast Cancer (CACUM) Screening ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE297,CACUM – Screening Up to Date,Whether cervical/breast cancer screening was done within last 24 months. Field visible to female patients only.,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE298,Diabetes Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE299,Diabetes – Family History,First-degree family history of diabetes,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE300,Diabetes – Overweight,System auto-calculates from BMI record (read-only),Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE301,Diabetes – Unintentional Weight Loss,Whether patient reports unintentional weight loss,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE302,Diabetes – Screening Up to Date,Whether diabetes screening is current,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE303,Diabetes – Excessive Thirst,Persistent thirst despite drinking water,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE304,Diabetes – Increased Hunger,Feeling hungrier than usual,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE305,Diabetes – Frequent Urination,Urinating more frequently than normal,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE306,Diabetes – Lab Request Trigger,Auto-opens lab request form with 'Blood Glucose' pre-loaded when positive symptoms flagged (rule: ≥1 of highlighted Qs answered Yes),Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE307,Hypertension Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE308,HBP – Family History,"Family history of hypertension or related complications (stroke, kidney, heart disease)",Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE309,HBP – Prior Stroke,Whether patient has previously had a stroke,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE310,Blood Pressure ,Patient's blood pressure reading; pre-filled if already recorded (editable),String,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE311,HIV Screening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE312,HIV – Known Serological Status,Whether patient has proof of HIV test done within last 3 months,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE313,HIV – Test Result (known),HIV test result if serological status is known,Coding,"Positive, Negative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE314,Date of Last HIV Test,Date of most recent HIV test (shown when result is Negative),Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE315,On ART,Whether HIV+ patient is currently on antiretroviral therapy,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE316,ART Location,Health facility where ART is administered (shown when On ART = Yes),Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE317,Type of HIV Test,Method used for HIV testing (default: Quick Test),Coding,"PCR, Quick test",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE318,HIV Test Result (new),Result of newly conducted HIV test,Coding,"Positive, Negative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE319,HIV Test Date,Date on which HIV test was performed,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE320,Testing Location Type,Type of facility where test was conducted,Coding,Heath units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE321,Testing Location Name,Name of testing facility,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE322,Presumptive Diagnosis (<18 months),Checkbox for presumptive HIV diagnosis in children under 18 months,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE323,Date of Presumptive Diagnosis,Date of presumptive diagnosis for under-18-month patients,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE324,HIV Wizard Trigger,Auto-opens HIV flow wizard when patient is HIV+ and not on ART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer Patient,MISAU.G.DE325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE326,Current Admission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE327,Admission Type,"Type of current admission (inpatient, outpatient, programme)",,"Inpatient, Outpatient, Programme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE328,Ward,Ward where the inpatient is currently admitted (auto-populated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE329,Bed,Bed number assigned to inpatient (auto-populated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE330,Date of Admission,Date patient was admitted (auto-retrieved from system),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE331,Service,Outpatient service where user is registered (auto-populated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE332,Date & Time of Admission,Date and time of the current episode (auto-populated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE333,Main Complaint,Patient's main complaint at admission (auto-populated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE335,Transfer Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE336,Transfer/Reference Date,Date and time the transfer or referral is initiated (auto-populated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE337,Transfer Action,Indicates whether action is a Transfer or Referral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE338,Type of Transfer/Reference,"Category of transfer: Internal, External Consultation, or Another Health Unit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE339,Reason for Transfer/Reference,Clinical or administrative justification for the transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE340,Clinician Name,Name of clinician requesting the transfer (auto-filled),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE341,Professional Category,Category/role of the clinician (auto-filled),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE343,Transfer to another Health unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE344,Destination Province,Province of the destination health unit (auto-filled on transfer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE345,Destination District,District of the destination health unit (auto-filled),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE346,Destination Health Unit,Name of the destination health unit (auto-filled),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE347,Destination Transfer Type,"Care setting at destination: External Consult, Emergency, Inpatient, Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE348,Destination Ward,Ward at destination (when Inpatient selected – free text),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE349,Destination Specialty (External),Specialty at destination for external consultations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE351,Receive Transfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE352,Reference Number,Unique identifier for the transfer/referral (auto-generated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE353,Transfer Date (receive),Date of transfer as recorded at receiving end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE354,Transfer Type (receive),Type of transfer as recorded at origin (non-editable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE355,Transfer Reason (receive),Reason given at origin (non-editable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE356,Response,Clinical or administrative response by receiving clinician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.G.General,MISAU.G.DE357,Receiving Clinician Name,Name of clinician who receives and responds (auto-filled),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
